,doc,subject,verb,object
0,720,development,save,[us]
1,720,she,turned,"[to, be, a, much, bigger, dog, than, i, 'd, anticipated]"
2,720,part,handled,[percent]
3,720,that,bring,"[truck, trips]"
4,720,area,has,[one]
5,720,i,contacted,"[parks, department]"
6,720,i,mentioned,[that]
7,720,she,pulled,[me]
8,720,she,were,"[dragging, me]"
9,720,i,mention,[that]
10,720,she,kept,"[dragging, me]"
11,720,this,forgotten,"[street, end]"
12,720,that,brought,[me]
13,720,it,grow,"[to, become, the, proud, beginnings, of, the, community, -, led, revitalization, of, the, new, south, bronx]"
14,720,we,garnered,[support]
15,720,hunts,point,[support]
16,720,bronx,had,[that]
17,720,i,going,"[to, exchange, marriage, vows, with, my, beloved]"
18,720,whistles,thank,[you]
19,720,him,pressing,[buttons]
20,720,he,does,[which]
21,720,we,feel,[problems]
22,720,justice,goes,[something]
23,720,one,find,[stuff]
24,720,one,find,[stuff]
25,720,pollution,poses,[risk]
26,720,i,do,[which]
27,720,decisions,created,[conditions]
28,720,someone,leave,[home]
29,720,one,has,[asthma]
30,720,impacts,coming,[way]
31,720,who,possess,[amounts]
32,720,citizens,use,"[room, visits]"
33,720,this,comes,[benefits]
34,720,this,produces,[benefits]
35,720,that,compromise,[lives]
36,720,none,want,[that]
37,720,we,have,[that]
38,720,we,have,[what]
39,720,laughter,graduated,[degrees]
40,720,laughter,traveled,"[degrees, kids]"
41,720,laughter,have,[kids]
42,720,i,watched,[half]
43,720,things,set,[me]
44,720,dad,bought,"[house, point, section]"
45,720,he,married,[mom]
46,720,others,pursued,[version]
47,720,lining,used,[banks]
48,720,residents,had,"[work, home]"
49,720,moses,spearheaded,"[expansion, campaign]"
50,720,bronx,stand,[chance]
51,720,residents,given,[notice]
52,720,nothing,going,"[that, to, come, from, your, community]"
53,720,degradation,begets,[degradation]
54,720,which,begets,[degradation]
55,720,disinvestment,set,[stage]
56,720,regulations,used,"[to, continue, putting, polluting, facilities, in, my, neighborhood]"
57,720,that,have,[interests]
58,720,we,realized,[that]
59,720,i,told,[you]
60,720,i,wrote,"[dollar, transportation, grant]"
61,720,improvements,help,"[inform, public, policy, regarding, traffic, safety]"
62,720,which,compromise,[quality]
63,720,they,provide,[opportunities]
64,720,we,secured,[dollars]
65,720,that,redesigned,[mathews]
66,720,it,connect,[bronx]
67,720,we,separated,[that]
68,720,link,change,[that]
69,720,we,nurture,[environment]
70,720,we,run,"[project, stewardship, training]"
71,720,which,provides,"[job, training]"
72,720,folks,have,[skills]
73,720,we,seeding,[area]
74,720,that,have,[stake]
75,720,that,divided,[it]
76,720,community,created,"[transportation, plan]"
77,720,we,have,[opportunity]
78,720,we,built,"[demonstration, project]"
79,720,that,absorb,[heat]
80,720,that,absorb,[heat]
81,720,roofs,retain,[percent]
82,720,they,reduce,[need]
83,720,they,provide,[habitats]
84,720,i,like,[that]
85,720,chris,told,[us]
86,720,i,have,[all]
87,720,we,need,[investors]
88,720,ward,had,[lot]
89,720,both,populated,[people]
90,720,that,host,"[industries, residents]"
91,720,we,take,[steps]
92,720,presentation,represents,[some]
93,720,i,tell,[you]
94,720,you,want,"[to, know]"
95,720,that,motivates,[people]
96,720,i,like,[what]
97,720,development,produce,[that]
98,720,that,have,[potential]
99,720,parade,going,"[to, propose, big, -, box, and, stadium, developments, in, the, south, bronx]"
100,720,team,replacing,[house]
101,720,we,have,[less]
102,720,i,told,[you]
103,720,percent,own,[cars]
104,720,projects,include,[thousands]
105,720,'s,get,[straight]
106,720,i,embraced,[capitalist]
107,720,i,have,[laughter]
108,720,you,have,[to]
109,720,you,need,[to]
110,720,i,have,[problem]
111,720,developers,making,[money]
112,720,development,make,[fortune]
113,720,you,do,[that]
114,720,i,have,[problem]
115,720,-,exploit,[communities]
116,720,we,create,[that]
117,720,one,remind,[myself]
118,720,'s,take,[bogota]
119,720,you,do,[something]
120,720,administration,narrowed,"[thoroughfares, parking]"
121,720,administration,created,[plazas]
122,720,administration,created,[one]
123,720,people,began,"[to, see, that, they, were, being, put, first, on, issues, reflecting, their, day, -, to, -, day, lives]"
124,720,people,stopped,[littering]
125,720,administration,attacked,[problems]
126,720,we,have,[excuse]
127,720,agenda,meant,"[to, penalize, those, who, could, actually, afford, cars, to, provide, opportunities, for, all, bogotanos, to, participate, in, the, city, 's, resurgence]"
128,720,who,afford,[cars]
129,720,development,come,[power]
130,720,example,considered,[power]
131,720,example,has,[power]
132,720,you,value,[information]
133,720,i,trying,"[to, build]"
134,720,me,democratize,[sustainability]
135,720,i,have,[time]
136,720,i,asked,[him]
137,720,activists,going,"[to, be, included, in, his, new, marketing, strategy]"
138,720,what,troubled,[me]
139,720,we,need,[money]
140,720,gore,reminded,[us]
141,720,who,have,"[audacity, courage]"
142,720,we,change,[world]
143,720,we,come,[me]
144,720,we,believe,[me]
145,720,we,share,[thing]
146,720,we,have,"[nothing, everything, ciao]"
147,721,i,came,[myself]
148,721,mother,washing,[dishes]
149,721,father,reading,"[paper, something]"
150,721,i,presented,[myself]
151,721,they,said,[myself]
152,721,that,means,[what]
153,721,i,going,"[to, have, a, party, and, a, cake, and, get, a, lot, of, presents]"
154,721,you,reached,[age]
155,721,i,heard,[phrase]
156,721,kevin,bandying,[it]
157,721,she,said,[it]
158,721,i,paid,[attention]
159,721,that,mean,[what]
160,721,kids,know,[difference]
161,721,you,grown,"[age, keeping, notes, on, you, record]"
162,721,you,reached,[age]
163,721,god,start,"[keeping, notes, on, you]"
164,721,you,begin,[record]
165,721,god,notice,[it]
166,721,i,noticed,[it]
167,721,i,known,[this]
168,721,they,telling,[me]
169,721,i,realized,[information]
170,721,mother,said,"[oh, ,, bob, ,, stop, it]"
171,721,bob,stop,[it]
172,721,'s,tell,[her]
173,721,parents,had,[story]
174,721,who,got,"[to, open, their, surprises, first, thing, christmas, morning]"
175,721,family,give,[time]
176,721,santa,come,[fuss]
177,721,all,make,[fuss]
178,721,parents,giving,[presents]
179,721,dad,had,"[wrapping, style]"
180,721,parents,trying,"[to, protect, us, from, the, embarrassment]"
181,721,'s,face,[it]
182,721,i,left,[kitchen]
183,721,i,dumbfounded,[kitchen]
184,721,i,missed,[age]
185,721,i,help,[someone]
186,721,who,use,[information]
187,721,they,had,"[to, fit, two, criteria]"
188,721,they,had,"[to, be, old, enough, to, be, able, to, understand, the, whole, concept, of, the, age, of, reason, ,, and, not, yet, seven]"
189,721,i,found,[bill]
190,721,i,ran,[bill]
191,721,i,said,[bill]
192,721,you,turn,[seven]
193,721,you,have,[year]
194,721,god,notice,[it]
195,721,i,turned,"[to, run]"
196,721,i,know,[it]
197,721,i,turning,[seven]
198,721,i,planned,[party]
